"Track-URI","Track-Name","Künstler-URI(s)","Künstlername(n)","Album-URI","Album-Name","Album-Künstler-URI(s)","Album-Künstlername(n)","Veröffentlichungsdatum des Albums","Album-Bild-URL","Disc-Nummer","Track-Nummer","Track-Dauer (ms)","Track-Vorschau-URL","Explizit","Beliebtheit","ISRC","Hinzugefügt von","Hinzugefügt am"
"spotify:track:3850dYVgOFIXJh5U4BFEWH","Hung Up","spotify:artist:6tbjWDEIzxoDsBA1FuhfPW","Madonna","spotify:album:1hg0pQJLE9dzfT1kgZtDPr","Confessions on a Dance Floor","spotify:artist:6tbjWDEIzxoDsBA1FuhfPW","Madonna","2005-11-11","https://i.scdn.co/image/ab67616d0000b273aaa9d84415623c1e790cd07b","1","1","337733","https://p.scdn.co/mp3-preview/dffaf6d378f42c2ec6311d17fadc5fc26eb84bf8?cid=9950ac751e34487dbbe027c4fd7f8e99","false","80","USWB10504319","spotify:user:sebastianelisapfeifer","2023-06-24T09:35:02Z"
"spotify:track:6trzHhvr6xqYJkNnbWwXz2","We're Going To Ibiza!","spotify:artist:0cwmNvclzPd8mQnoHuIksj","Vengaboys","spotify:album:2hy9sLDt7IVAvJRGVdzZnx","The Party Album!","spotify:artist:0cwmNvclzPd8mQnoHuIksj","Vengaboys","1999-06-04","https://i.scdn.co/image/ab67616d0000b27350fcab12b2e2e0ee0019ac53","1","5","217539","https://p.scdn.co/mp3-preview/6e365faabfceec5a9afc91f171092a2acbc268e0?cid=9950ac751e34487dbbe027c4fd7f8e99","false","67","NLC529811170","spotify:user:sebastianelisapfeifer","2023-06-24T15:28:25Z"
"spotify:track:52Zr0sinhWTCRrQhRRY4EP","Dragostea din tei","spotify:artist:5M5PjPSiKeXynM6Ohu350r","O-Zone","spotify:album:0LUnPpNFYk72u29RAW2aLJ","DiscO-Zone","spotify:artist:5M5PjPSiKeXynM6Ohu350r","O-Zone","2004-02-23","https://i.scdn.co/image/ab67616d0000b2736ed1042195c7228f6bd3548e","1","5","215386","https://p.scdn.co/mp3-preview/80e9ea6cd288991bd8d8cdbfb79ed17d10061ee2?cid=9950ac751e34487dbbe027c4fd7f8e99","false","73","ROMSA0600487","spotify:user:sebastianelisapfeifer","2023-06-26T12:08:24Z"
"spotify:track:26kXONuhWX8sutaxnmcpPg","Skandal im Sperrbezirk","spotify:artist:7LdEfCVOGOJ2jaAxsmnTeN","Spider Murphy Gang","spotify:album:1BJXEhdCuUrrzhdVYR2I1p","Dolce Vita","spotify:artist:7LdEfCVOGOJ2jaAxsmnTeN","Spider Murphy Gang","1981-01-01","https://i.scdn.co/image/ab67616d0000b2739c884c1f2cdd0988fafaa53a","1","5","219866","https://p.scdn.co/mp3-preview/2695cf505bddc70109788e52287197af5d70f2d7?cid=9950ac751e34487dbbe027c4fd7f8e99","false","65","DEA348101056","spotify:user:eva0.0","2023-06-26T12:10:29Z"
"spotify:track:6Z0k1oFdDR5zwAr59InV2q","Bruttosozialprodukt","spotify:artist:3vQGJGekBpxyOrob92qTcE","Geier Sturzflug","spotify:album:28Uw8SirDAGkAOYAKrWsz3","Das Beste von Geier Sturzflug","spotify:artist:3vQGJGekBpxyOrob92qTcE","Geier Sturzflug","1993-09-03","https://i.scdn.co/image/ab67616d0000b27317bd37a3714ccc40dc811422","1","1","181026","https://p.scdn.co/mp3-preview/0c1cdc07f97a4cd556eb2071f1c820e0da147ab8?cid=9950ac751e34487dbbe027c4fd7f8e99","false","1","DEA818300013","spotify:user:eva0.0","2023-06-26T12:10:32Z"
"spotify:track:2sxi3UJLbsIs6p281rARgi","Lay All Your Love On Me - From 'Mamma Mia!' Original Motion Picture Soundtrack","spotify:artist:0F6wZIBwxstvRk9eQtpvOo, spotify:artist:5RZjpmuD14JKXvB8Ry1G1u","Dominic Cooper, Amanda Seyfried","spotify:album:5KhzAHMfdnBORoub8UYPDC","Mamma Mia! The Movie Soundtrack","spotify:artist:0GSuGuz8CIQpRZdig9k9Mt","Cast of Mamma Mia! The Movie","2008-01-01","https://i.scdn.co/image/ab67616d0000b273dd14e98cc2a4a34d4f202e7d","1","6","269440","https://p.scdn.co/mp3-preview/97d15140536f7f32ab973c2bcb21f7287328aca5?cid=9950ac751e34487dbbe027c4fd7f8e99","false","49","GBUM70809215","spotify:user:eva0.0","2023-06-26T12:12:06Z"
"spotify:track:5zA8vzDGqPl2AzZkEYQGKh","Uptown Girl","spotify:artist:6zFYqv1mOsgBRQbae3JJ9e","Billy Joel","spotify:album:3R3x4zIabsvpD3yxqLaUpc","An Innocent Man","spotify:artist:6zFYqv1mOsgBRQbae3JJ9e","Billy Joel","1983-08-08","https://i.scdn.co/image/ab67616d0000b273814cbc4746358a25c84c62e7","1","6","197706","https://p.scdn.co/mp3-preview/62bccc2f61bb990df31d1a247a3bf69efd32da18?cid=9950ac751e34487dbbe027c4fd7f8e99","false","85","USSM18300270","spotify:user:eva0.0","2023-06-26T12:12:39Z"
"spotify:track:3TBRJsLCcwroEkA3tD4u2N","Der Kommissar","spotify:artist:0hLd40hVpRDGENe4KGZLnW","Falco","spotify:album:4713DwyqNIrkyj17Q5Rsde","Einzelhaft","spotify:artist:0hLd40hVpRDGENe4KGZLnW","Falco","1982-02-19","https://i.scdn.co/image/ab67616d0000b27349512287075ab421f6d4a61a","1","2","232588","https://p.scdn.co/mp3-preview/f8e86afeec4311facbc96817df49e66ec830d349?cid=9950ac751e34487dbbe027c4fd7f8e99","false","66","ATB158200018","spotify:user:sebastianelisapfeifer","2023-06-26T12:20:33Z"
"spotify:track:31wVu1EYhWOFCECXTqLWQ4","Moskau","spotify:artist:1g1nVvle9qO9AWIUWYvPAP","Dschinghis Khan","spotify:album:0QLju6FUWkG6s40oaNe6EN","Huh Hah Dschinghis Khan","spotify:artist:1g1nVvle9qO9AWIUWYvPAP","Dschinghis Khan","1993-04-26","https://i.scdn.co/image/ab67616d0000b2739c5fc76537e40d05b25e5cf1","1","13","269973","https://p.scdn.co/mp3-preview/20b356459cb5f2d99f6d2afdb6707d15982fff28?cid=9950ac751e34487dbbe027c4fd7f8e99","false","49","DEC717900024","spotify:user:sebastianelisapfeifer","2023-06-26T12:20:47Z"
"spotify:track:2WfaOiMkCvy7F5fcp2zZ8L","Take on Me","spotify:artist:2jzc5TC5TVFLXQlBNiIUzE","a-ha","spotify:album:1ER3B6zev5JEAaqhnyyfbf","Hunting High and Low","spotify:artist:2jzc5TC5TVFLXQlBNiIUzE","a-ha","1985-06-01","https://i.scdn.co/image/ab67616d0000b273e8dd4db47e7177c63b0b7d53","1","1","225280","https://p.scdn.co/mp3-preview/d1427dd0a300eeccfc53b99a2ebf3c664a67414a?cid=9950ac751e34487dbbe027c4fd7f8e99","false","89","USWB19901214","spotify:user:eva0.0","2023-06-26T12:23:49Z"
