"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","Added By","Added At"
"spotify:track:6Z435tBPT5JamUR9dN7y8y","The Temple Of The King","spotify:artist:6SLAMfhOi7UJI0fMztaK0m","Rainbow","spotify:album:0RsJGRspEXnzwNMBAdrV3u","Ritchie Blackmore's Rainbow (Remastered)","spotify:artist:6SLAMfhOi7UJI0fMztaK0m","Rainbow","1975-01-01","https://i.scdn.co/image/ab67616d0000b273cef7c35ca8b1c90cd8d010c8","1","6","282013","","false","0","spotify:user:sebastianelisapfeifer","2021-12-20T21:11:56Z"
"spotify:track:7FtRUrOEDUHTvenvp1BqZo","Catch The Rainbow","spotify:artist:6SLAMfhOi7UJI0fMztaK0m","Rainbow","spotify:album:3LXOrVXLXwRiOguE446OZo","Ritchie Blackmore's Rainbow","spotify:artist:6SLAMfhOi7UJI0fMztaK0m","Rainbow","1975-01-01","https://i.scdn.co/image/ab67616d0000b2733626f32e555553b537a6493f","1","4","396466","https://p.scdn.co/mp3-preview/3c2ba699066c58f577eb9819134bda95060236f3?cid=9950ac751e34487dbbe027c4fd7f8e99","false","56","spotify:user:sebastianelisapfeifer","2021-12-20T21:12:29Z"
"spotify:track:6VsFwVOgYod8AlHi5Ikph4","Avalon","spotify:artist:0tfnDOJ5a2ib3mHAI4qGyD","The Dreadnoughts","spotify:album:3AtaamrqosM5VdORJN2WR9","Uncle Touchy Goes to College","spotify:artist:0tfnDOJ5a2ib3mHAI4qGyD","The Dreadnoughts","2011-06-08","https://i.scdn.co/image/ab67616d0000b273e4750da45c1d7da3ae27202d","1","6","242005","https://p.scdn.co/mp3-preview/d3dfc49fcaa9ecef3534c39f7a03d406a0bad63b?cid=9950ac751e34487dbbe027c4fd7f8e99","false","26","spotify:user:sebastianelisapfeifer","2021-12-20T21:12:57Z"
"spotify:track:5vx2ZSxHZdU1uayazjICOr","Someday the Rains Will Fall","spotify:artist:3lPQ2Fk5JOwGWAF3ORFCqH","John Mellencamp","spotify:album:576fyLLci8j617RWwYX54O","Ncis: The Official Tv Soundtrack - Vol. 2","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Various Artists","2009-11-02","https://i.scdn.co/image/ab67616d0000b273cd64c8e03698db0e6d6d0563","1","6","272613","https://p.scdn.co/mp3-preview/b6f472fa10d2443840377da8eaaea3ffe7a6b96f?cid=9950ac751e34487dbbe027c4fd7f8e99","false","10","spotify:user:sebastianelisapfeifer","2021-12-20T21:13:30Z"
"spotify:track:0tKTIca4Digkp12oFfoyhf","Ride Across The River","spotify:artist:0WwSkZ7LtFUFjGjMZBMt6T","Dire Straits","spotify:album:15J400U0rEpgE64UQgtvLs","Brothers In Arms","spotify:artist:0WwSkZ7LtFUFjGjMZBMt6T","Dire Straits","1985-05-13","https://i.scdn.co/image/ab67616d0000b273995239a0e35a898037ec4b29","1","6","424600","","false","0","spotify:user:sebastianelisapfeifer","2021-12-20T21:13:53Z"
"spotify:track:3jCowIhDbYJxtLxlYdZCK9","The Shapes of Things to Come","spotify:artist:0FB0O0mXw6IVZtJ9x0dKoE","Sonne Hagal","spotify:album:79fqVdinPcr1FKmqu9ml9m","Ockerwasser","spotify:artist:0FB0O0mXw6IVZtJ9x0dKoE","Sonne Hagal","2014-09-30","https://i.scdn.co/image/ab67616d0000b2738425c9cd73fa8909f9b5b280","1","1","304560","https://p.scdn.co/mp3-preview/e8ffb9b67ba286327832b6230ca44e297d5642cd?cid=9950ac751e34487dbbe027c4fd7f8e99","false","30","spotify:user:sebastianelisapfeifer","2021-12-20T21:14:53Z"
"spotify:local:Entertainment+for+the+Braindead:Pirates:Pirates:207","Pirates","","Entertainment for the Braindead","","Pirates","","","","","0","0","207000","","false","0","spotify:user:sebastianelisapfeifer","2021-12-20T21:15:12Z"
"spotify:track:5AQqtXvhgDKl3v4JzkdEsG","A Night Like This","spotify:artist:7bu3H8JO7d0UbMoVzbo70s","The Cure","spotify:album:7zJzNs8eVgbkVVSQSwKRtx","The Head On The Door","spotify:artist:7bu3H8JO7d0UbMoVzbo70s","The Cure","1985-08-26","https://i.scdn.co/image/ab67616d0000b2731dda5f57ba5c203f775ea2dd","1","8","256320","https://p.scdn.co/mp3-preview/9dd3bacff50ecba60e33d765915d7d4fa35ce651?cid=9950ac751e34487dbbe027c4fd7f8e99","false","49","spotify:user:sebastianelisapfeifer","2021-12-20T21:16:13Z"
"spotify:track:1iKVDnBTqmZErf96ldGrZe","Tusk","spotify:artist:08GQAI4eElDnROBrJRGE0X","Fleetwood Mac","spotify:album:0LfM3PGkXE6KvJEE1HkOnz","Greatest Hits","spotify:artist:08GQAI4eElDnROBrJRGE0X","Fleetwood Mac","1988-11-21","https://i.scdn.co/image/ab67616d0000b273813da91820fd194cbee5bdce","1","11","210173","https://p.scdn.co/mp3-preview/29917ce5bc67dd94661dee0455dc1bee9ec93ac6?cid=9950ac751e34487dbbe027c4fd7f8e99","false","52","spotify:user:sebastianelisapfeifer","2021-12-20T21:16:45Z"
"spotify:track:74D4H6tg3QnZ1SpEA9pjGk","Ashes","spotify:artist:5k979N1TnPncUyqlXlaRSv","The Longest Johns","spotify:album:23FGerfaTcQOlEdySv5Wdq","Cures What Ails Ya","spotify:artist:5k979N1TnPncUyqlXlaRSv","The Longest Johns","2020-06-10","https://i.scdn.co/image/ab67616d0000b2730e344b28681e6ee72eb67f78","1","6","201000","https://p.scdn.co/mp3-preview/a88304f97e5d5445fa76f308d3336508e6067aa4?cid=9950ac751e34487dbbe027c4fd7f8e99","false","50","spotify:user:sebastianelisapfeifer","2021-12-28T20:13:39Z"
"spotify:track:573Z2Dty5epeNgKsgoDOlr","Child in Time - 1995 Remaster","spotify:artist:568ZhdwyaiCyOGJRtNYhWf","Deep Purple","spotify:album:2bjTVISSsvwia7uxrrEsuQ","Deep Purple in Rock (Anniversary Edition)","spotify:artist:568ZhdwyaiCyOGJRtNYhWf","Deep Purple","1970-06-03","https://i.scdn.co/image/ab67616d0000b273914d1e0ea2784475c457b7dc","1","3","613440","https://p.scdn.co/mp3-preview/6da0924e30d87c24b95e73155621a0d6738bc573?cid=9950ac751e34487dbbe027c4fd7f8e99","false","53","spotify:user:sebastianelisapfeifer","2022-01-03T10:12:42Z"
"spotify:track:0U3go7hV3vJQHsDS5Pi2O8","Lady In Black - Alternate Version","spotify:artist:45O9BwPMyywM755SYUK0sP","Uriah Heep","spotify:album:3wKKm50QVr41XULVtmY6JF","Salisbury (Expanded Version)","spotify:artist:45O9BwPMyywM755SYUK0sP","Uriah Heep","1971-02-15","https://i.scdn.co/image/ab67616d0000b273e37af4654ce7bb13d3189806","1","18","211013","https://p.scdn.co/mp3-preview/a5ed038256de32175a317b09ab95bd30cb0fabac?cid=9950ac751e34487dbbe027c4fd7f8e99","false","48","spotify:user:sebastianelisapfeifer","2022-01-03T17:53:22Z"
"spotify:track:27Pu3Gp0lG0v2qRk8NHjWX","Foggy Dew","spotify:artist:0IlUKxz8kZ4EpKrZjlvFr1","Blaggards","spotify:album:54rl8J9TynN3Qah4u9Eph4","Standards","spotify:artist:0IlUKxz8kZ4EpKrZjlvFr1","Blaggards","2005-01-01","https://i.scdn.co/image/ab67616d0000b27348aa22984b9dc4d38a8ede95","1","6","266466","https://p.scdn.co/mp3-preview/bc0c1e8ba91776b16623c302d4aa80f36d0ff82c?cid=9950ac751e34487dbbe027c4fd7f8e99","false","29","spotify:user:sebastianelisapfeifer","2022-01-06T23:58:14Z"
"spotify:track:592foC8lTe4bgh9tJyqc0k","The Sign of the Southern Cross - 2009 Remaster","spotify:artist:5M52tdBnJaKSvOpJGz8mfZ","Black Sabbath","spotify:album:2iaECLD2YLSEOkSfi7BRaC","Mob Rules","spotify:artist:5M52tdBnJaKSvOpJGz8mfZ","Black Sabbath","1981-11-04","https://i.scdn.co/image/ab67616d0000b273b309292845a47f6f30405016","1","3","467840","https://p.scdn.co/mp3-preview/e1370e6d1fb75c20f99c5ba7cb03fe004c552958?cid=9950ac751e34487dbbe027c4fd7f8e99","false","38","spotify:user:sebastianelisapfeifer","2022-01-07T19:06:21Z"
"spotify:track:5u6Woby9oKAF8LhhuxykH1","Girl, You'll Be a Woman Soon","spotify:artist:5LEUigTSXpwrtERRcSW1N4","Urge Overkill","spotify:album:7rtF6RdFTI13m1Lvv2jInv","Stull","spotify:artist:5LEUigTSXpwrtERRcSW1N4","Urge Overkill","1992-06-10","https://i.scdn.co/image/ab67616d0000b2735068188c5cb4ca0ef319191f","1","1","189626","","false","1","spotify:user:sebastianelisapfeifer","2022-01-24T14:49:09Z"
"spotify:track:6Gyk7ZHfFWo3d8U7poUEPs","Blue Jean Blues - 2005 Remaster","spotify:artist:2AM4ilv6UzW0uMRuqKtDgN","ZZ Top","spotify:album:4krv5xmTGdK9LhWINUkVgO","Fandango! (Expanded 2006 Remaster)","spotify:artist:2AM4ilv6UzW0uMRuqKtDgN","ZZ Top","1975-04-18","https://i.scdn.co/image/ab67616d0000b273b86736821a2d2f2da99b3963","1","5","282626","https://p.scdn.co/mp3-preview/5ddc65ad8a096040d00aaf9256762182cfd3d80c?cid=9950ac751e34487dbbe027c4fd7f8e99","false","50","spotify:user:sebastianelisapfeifer","2022-01-24T15:16:31Z"
"spotify:track:1hwJKpe0BPUsq6UUrwBWTw","Boulevard of Broken Dreams","spotify:artist:7oPftvlwr6VrsViSDV7fJY","Green Day","spotify:album:2sIWM1FzNqLCccNwXuC4SA","Boulevard of Broken Dreams","spotify:artist:7oPftvlwr6VrsViSDV7fJY","Green Day","2004","https://i.scdn.co/image/ab67616d0000b27397e3ca5aecb464f021c601d5","1","1","261266","https://p.scdn.co/mp3-preview/4211974a994d5e06fb641887ad47523ddff3efcc?cid=9950ac751e34487dbbe027c4fd7f8e99","true","71","spotify:user:sebastianelisapfeifer","2022-01-25T15:11:51Z"
