"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","Added By","Added At"
"spotify:track:0spU8cIE8h5IM3wl9FT5YR","Black Friday Rule","spotify:artist:5kQGFREO5FzMBMsAO3cEtj","Flogging Molly","spotify:album:17DfzMvhWL7EjCdqWpqj9P","Swagger","spotify:artist:5kQGFREO5FzMBMsAO3cEtj","Flogging Molly","2000-03-07","https://i.scdn.co/image/ab67616d0000b273b627b2325f99859942c81ca4","1","8","421106","","false","0","spotify:user:sebastianelisapfeifer","2020-08-03T15:46:40Z"
"spotify:track:2DPrCpQlpwWGJSPJJtLTyY","Devil's Dance Floor","spotify:artist:5kQGFREO5FzMBMsAO3cEtj","Flogging Molly","spotify:album:17DfzMvhWL7EjCdqWpqj9P","Swagger","spotify:artist:5kQGFREO5FzMBMsAO3cEtj","Flogging Molly","2000-03-07","https://i.scdn.co/image/ab67616d0000b273b627b2325f99859942c81ca4","1","10","239653","","false","0","spotify:user:sebastianelisapfeifer","2020-08-03T15:46:40Z"
"spotify:track:2XjUCQdBm6AzlDSLCKj7V6","The State of Massachusetts","spotify:artist:7w9jdhcgHNdiPeNPUoFSlx","Dropkick Murphys","spotify:album:0woGEtg6EaW4YpDz2Dv235","The Meanest of Times","spotify:artist:7w9jdhcgHNdiPeNPUoFSlx","Dropkick Murphys","2007-09-17","https://i.scdn.co/image/ab67616d0000b2730a5a5dd65362c8f4c78c5d98","1","3","234960","","false","0","spotify:user:sebastianelisapfeifer","2020-08-03T15:46:40Z"
"spotify:track:4jDWgxcreqJIFes5Hd5Ln7","Flannigan's Ball","spotify:artist:7w9jdhcgHNdiPeNPUoFSlx","Dropkick Murphys","spotify:album:0woGEtg6EaW4YpDz2Dv235","The Meanest of Times","spotify:artist:7w9jdhcgHNdiPeNPUoFSlx","Dropkick Murphys","2007-09-17","https://i.scdn.co/image/ab67616d0000b2730a5a5dd65362c8f4c78c5d98","1","8","219280","","false","0","spotify:user:sebastianelisapfeifer","2020-08-03T15:46:40Z"
"spotify:track:3Co33SF1EOVjhCF58GCq2X","Fairmount Hill","spotify:artist:7w9jdhcgHNdiPeNPUoFSlx","Dropkick Murphys","spotify:album:0woGEtg6EaW4YpDz2Dv235","The Meanest of Times","spotify:artist:7w9jdhcgHNdiPeNPUoFSlx","Dropkick Murphys","2007-09-17","https://i.scdn.co/image/ab67616d0000b2730a5a5dd65362c8f4c78c5d98","1","10","238400","","false","0","spotify:user:sebastianelisapfeifer","2020-08-03T15:46:40Z"
"spotify:track:0mLS3gBv6Wzv0q6zLcmLD8","Red Flag","spotify:artist:08yf5A2nS4XEeNvabDXqyg","Billy Talent","spotify:album:5toyHAFUN46WoyMUYcB5b1","Billy Talent II","spotify:artist:08yf5A2nS4XEeNvabDXqyg","Billy Talent","2006-06-26","https://i.scdn.co/image/ab67616d0000b2737d3f52647c096088e1d8ec67","1","2","196840","https://p.scdn.co/mp3-preview/d5c4c46074a6da1bc5c03d5f470775d225efc856?cid=9950ac751e34487dbbe027c4fd7f8e99","false","48","spotify:user:sebastianelisapfeifer","2020-08-03T15:46:49Z"
"spotify:track:6Wze1mFZVcT3fj8hTKnBSz","I'm Shipping Up To Boston","spotify:artist:7w9jdhcgHNdiPeNPUoFSlx","Dropkick Murphys","spotify:album:0qb9KGaUaaYoqclHvquO65","The Departed (Music from the Motion Picture)","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Various Artists","2006-10-16","https://i.scdn.co/image/ab67616d0000b2734b1807d4ef3c085db97a9b6a","1","7","154120","","false","0","spotify:user:sebastianelisapfeifer","2020-08-03T15:46:53Z"
"spotify:track:4WwWjFCyvUY2fcx8OULByB","In a Darkened Room","spotify:artist:4opTS86dN9uO313J9CE8xg","Skid Row","spotify:album:0AiXcZbksZoX2pSe2384Z3","Slave to the Grind","spotify:artist:4opTS86dN9uO313J9CE8xg","Skid Row","1991","https://i.scdn.co/image/ab67616d0000b2736def8b792dae19e81931de6e","1","9","235066","https://p.scdn.co/mp3-preview/378766d3eefef1ab47bb7e34d6fcdb395f5a5817?cid=9950ac751e34487dbbe027c4fd7f8e99","false","58","spotify:user:sebastianelisapfeifer","2020-08-03T15:47:04Z"
"spotify:track:21cp8L9Pei4AgysZVihjSv","Child in Time","spotify:artist:568ZhdwyaiCyOGJRtNYhWf","Deep Purple","spotify:album:2jm9Vixt3Nn2oE4VtOVUD8","Deepest Purple: The Very Best of Deep Purple","spotify:artist:568ZhdwyaiCyOGJRtNYhWf","Deep Purple","1980","https://i.scdn.co/image/ab67616d0000b27325b36a6170824fefd38d337e","1","5","619266","https://p.scdn.co/mp3-preview/3198981a063c06f97c977db53b0a4140bac90fb3?cid=9950ac751e34487dbbe027c4fd7f8e99","false","54","spotify:user:sebastianelisapfeifer","2020-08-03T15:47:08Z"
"spotify:track:3BWWSa0UDSVP6Z9uRrT175","Land Of Confusion","spotify:artist:3TOqt5oJwL9BE2NG9MEwDa","Disturbed","spotify:album:6uk3P8Y3DuoUlQEiWvhrh8","Ten Thousand Fists","spotify:artist:3TOqt5oJwL9BE2NG9MEwDa","Disturbed","2005-09-19","https://i.scdn.co/image/ab67616d0000b27385b120e9096febbc11ee0c21","1","11","287066","","false","0","spotify:user:sebastianelisapfeifer","2020-08-03T15:47:11Z"
