"Track URI","Track Name","Artist URI","Artist Name","Album URI","Album Name","Album Release Date","Disc Number","Track Number","Track Duration (ms)","Explicit","Popularity","Added By","Added At","Artist Genres","Danceability","Energy","Key","Loudness","Mode","Speechiness","Acousticness","Instrumentalness","Liveness","Valence","Tempo","Time Signature"
"spotify:track:02qMXeUk6d22M8PXi1PNBb","I'd Rather Burn Than Disappear","spotify:artist:0AFVYhgHSbn9LBIDPU6dTQ","Sweet Smoke","spotify:album:4TvspgPQpOYUlNDC1GFbIJ","Just A Poke / Darkness To Light","2000","1","4","258093","false","21","spotify:user:sebastianelisapfeifer","2018-01-14T19:59:14Z","jazz rock","0.395","0.424","7","-9.327","1","0.0297","0.609","0","0.405","0.637","123.146","4"
"spotify:track:4uGIJG1jYFonGc4LGp5uQL","Somebody to Love","spotify:artist:2qFr8w5sWUITRlzZ9kZotF","Jefferson Airplane","spotify:album:6lPb7Eoon6QPbscWbMsk6a","Surrealistic Pillow","1967","1","2","174840","false","74","spotify:user:sebastianelisapfeifer","2018-01-22T10:18:56Z","acid rock,classic rock,folk rock,psychedelic rock,rock,roots rock","0.504","0.578","4","-9.302","1","0.031","0.408","0","0.321","0.654","132.411","4"
"spotify:track:2aoo2jlRnM3A0NyLQqMN2f","All Along the Watchtower","spotify:artist:776Uo845nYHJpNaStv1Ds4","Jimi Hendrix","spotify:album:5z090LQztiqh13wYspQvKQ","Electric Ladyland","1968-10-25","1","15","240800","false","80","spotify:user:sebastianelisapfeifer","2018-01-22T10:18:58Z","acid rock,blues rock,classic rock,psychedelic rock,rock","0.438","0.805","8","-6.237","1","0.0624","0.00255","0.0000569","0.0842","0.564","113.253","4"
"spotify:track:3jBCwLVmmfKUH8321N4bdd","Shifting Sands","spotify:artist:2z4eiJkDaXYCR9kv2UuSgz","The West Coast Pop Art Experimental Band","spotify:album:36qtMdwzo4s7lisavSgorV","Part One","1967","1","1","234600","false","51","spotify:user:sebastianelisapfeifer","2018-01-22T10:19:08Z","classic garage rock,folk rock,freakbeat,psychedelic rock","0.226","0.585","2","-9.965","1","0.0343","0.128","0.0233","0.112","0.655","180.495","3"
"spotify:track:2BcvvHttiZRvguFM4hR398","Sunshine Of Your Love","spotify:artist:74oJ4qxwOZvX6oSsu1DGnw","Cream","spotify:album:4SMNUQCyTvlO4vFEdXXG45","Disraeli Gears (Remastered)","1967-11-02","1","2","250000","false","0","spotify:user:sebastianelisapfeifer","2018-04-09T13:55:59Z","album rock,art rock,blues rock,classic rock,folk rock,hard rock,psychedelic rock,rock,roots rock,supergroup","0.684","0.481","2","-12.59","1","0.0384","0.475","0.0000657","0.118","0.784","115.078","4"
"spotify:track:0wzABO1igQsSy8cQ7dIeHK","Paint It Black","spotify:artist:22bE4uQ6baNwSHPVcDxLCe","The Rolling Stones","spotify:album:19MOC02Ei3l2SalGUGWozw","Aftermath (Remastered)","1966-04-15","1","1","202266","false","1","spotify:user:sebastianelisapfeifer","2018-04-09T13:56:09Z","album rock,british invasion,classic rock,rock","0.482","0.8","11","-9.278","0","0.0916","0.0569","0.00223","0.387","0.569","158.81","4"
"spotify:track:5X76oXHcR5uCXali0gOyX5","White Room","spotify:artist:74oJ4qxwOZvX6oSsu1DGnw","Cream","spotify:album:4M9csrFM1XVEpwMeYUBRmX","Wheels Of Fire (Remastered)","1968-07-01","1","1","303200","false","0","spotify:user:sebastianelisapfeifer","2018-04-09T13:56:18Z","album rock,art rock,blues rock,classic rock,folk rock,hard rock,psychedelic rock,rock,roots rock,supergroup","0.55","0.576","0","-13.475","1","0.0306","0.178","0.00935","0.0555","0.486","109.837","4"
"spotify:track:24NwBd5vZ2CK8VOQVnqdxr","Sweet Emotion","spotify:artist:7Ey4PD4MYsKc5I2dolUwbH","Aerosmith","spotify:album:36IxIOGEBAXVozDSiVs09B","Toys In The Attic","1975-04-08","1","6","274133","false","77","spotify:user:sebastianelisapfeifer","2019-04-30T19:21:40Z","album rock,classic rock,hard rock,rock","0.38","0.76","9","-10.961","1","0.0378","0.00298","0.0294","0.104","0.491","99.437","4"
"spotify:track:5M7zx8sDe1kaoButKvFv1r","The Flesh Failures (Let the Sunshine In)","spotify:artist:3b6TinIPahsS8iSCYAeinr, spotify:artist:37pKA6kY6h4rcFUBwrrTDk","Galt MacDermot, Tom Pierson","spotify:album:1llShsXxqoYFxKEX7JkKBj","Hair","1979","1","27","364066","false","45","spotify:user:sebastianelisapfeifer","2019-11-29T23:58:43Z","show tunes","0.56","0.859","7","-9.127","1","0.0925","0.045","0","0.12","0.468","106.237","4"
"spotify:track:0utok21LnxgOt4RWGo4HhI","Hare Krishna","spotify:artist:3b6TinIPahsS8iSCYAeinr, spotify:artist:37pKA6kY6h4rcFUBwrrTDk","Galt MacDermot, Tom Pierson","spotify:album:1llShsXxqoYFxKEX7JkKBj","Hair","1979","1","16","201000","false","37","spotify:user:sebastianelisapfeifer","2019-11-29T23:58:50Z","show tunes","0.595","0.707","7","-10.407","1","0.104","0.00463","0.000842","0.0614","0.63","120.86","4"
"spotify:track:4RLhdwclHWmNNB6rdkB8Zf","Hair","spotify:artist:3b6TinIPahsS8iSCYAeinr, spotify:artist:37pKA6kY6h4rcFUBwrrTDk","Galt MacDermot, Tom Pierson","spotify:album:1llShsXxqoYFxKEX7JkKBj","Hair","1979","1","13","163960","false","42","spotify:user:sebastianelisapfeifer","2019-11-29T23:58:56Z","show tunes","0.548","0.865","0","-9.372","0","0.234","0.141","0","0.223","0.373","137.807","4"
"spotify:track:3PGAgwFWnFCisvjb3rLyuh","Piece Of My Heart","spotify:artist:4NgfOZCL9Ml67xzM0xzIvC","Janis Joplin","spotify:album:3Z0LdhZyBaeniH7m9VpSrR","Introducing the Dwights","2007-07-17","1","13","253804","false","56","spotify:user:sebastianelisapfeifer","2020-01-16T21:40:57Z","blues rock,classic rock,psychedelic rock,rock","0.482","0.883","4","-3.348","1","0.0754","0.0891","0.00422","0.266","0.594","80.687","4"
"spotify:track:4tNrBlXGBYWvWkgSm5x1HP","Havar Havar","spotify:artist:6hKJvRsiSIyjIBv9usxkhh","Kourosh Yaghmaei","spotify:album:5CkKVzQfn3Q2tTnirTNxLh","Gole Yakh - Persian Music","1991-10-21","1","10","227426","false","27","spotify:user:sebastianelisapfeifer","2020-05-02T20:29:11Z","classic persian pop,persian rock","0.652","0.359","8","-14.774","1","0.0792","0.714","0.00177","0.0997","0.58","90.894","3"
"spotify:track:6W7tzjl1aD3TJ7bvROHPmv","Dar Enteha","spotify:artist:6hKJvRsiSIyjIBv9usxkhh","Kourosh Yaghmaei","spotify:album:03Ewp6nI2gEGIwPzIWDlj4","Back From The Brink: Pre-Revolution Psychedelic Rock From Iran: 1973-1979","2011-08-23","1","2","249480","false","31","spotify:user:sebastianelisapfeifer","2020-05-02T20:29:11Z","classic persian pop,persian rock","0.522","0.679","7","-9.025","0","0.0315","0.88","0.0000213","0.139","0.595","85.728","4"
"spotify:track:5td5zLeWSSM1Exrs3Fn1rN","Leila","spotify:artist:6hKJvRsiSIyjIBv9usxkhh","Kourosh Yaghmaei","spotify:album:5CkKVzQfn3Q2tTnirTNxLh","Gole Yakh - Persian Music","1991-10-21","1","11","272800","false","39","spotify:user:sebastianelisapfeifer","2020-05-02T20:32:30Z","classic persian pop,persian rock","0.666","0.266","7","-15.178","0","0.0358","0.931","0.371","0.123","0.346","94.557","4"
"spotify:track:1C8RHwk3q455M7hpihnzJJ","Gole Yakh","spotify:artist:6hKJvRsiSIyjIBv9usxkhh","Kourosh Yaghmaei","spotify:album:03Ewp6nI2gEGIwPzIWDlj4","Back From The Brink: Pre-Revolution Psychedelic Rock From Iran: 1973-1979","2011-08-23","1","1","306760","false","46","spotify:user:sebastianelisapfeifer","2020-05-02T20:35:52Z","classic persian pop,persian rock","0.408","0.554","9","-6.707","0","0.0268","0.84","0.000266","0.171","0.49","171.512","4"
"spotify:track:7fC9Hp9RFSDNpgRnSY2Ahj","Misirlou","spotify:artist:6Ycrt8OjGSSFihsb0446eg","Dick Dale","spotify:album:0N97YI1v4i0bbIlJrPhcjR","Surfer´s Paradise, Vol.1","2013-09-13","1","2","135986","false","49","spotify:user:sebastianelisapfeifer","2020-05-08T16:30:53Z","instrumental surf,surf music","0.294","0.928","4","-6.841","1","0.0582","0.0173","0.863","0.302","0.577","173.405","4"
"spotify:track:4kPSjEg8u1U4pg2dHHMmtf","Dancing Barefoot","spotify:artist:0vYkHhJ48Bs3jWcvZXvOrP","Patti Smith","spotify:album:5Azni9In90zMkWAFgWh6RE","Wave","1979","1","2","256533","false","61","spotify:user:sebastianelisapfeifer","2020-06-15T18:19:35Z","art punk,art rock,dance rock,folk rock,permanent wave,protopunk,rock","0.492","0.639","2","-9.944","1","0.0319","0.235","0","0.0738","0.792","115.519","4"
"spotify:track:53ydGQZ1AgkPGPwd2iwiKc","Love Like A Man","spotify:artist:7nkLRaWHImCvWGHdNGnhVE","Ten Years After","spotify:album:23K9VQeaaFKzmyEg2Z4V0u","The Best Of Ten Years After","1991","1","13","456626","false","0","spotify:user:sebastianelisapfeifer","2020-06-15T18:25:44Z","album rock,art rock,blues,blues rock,british blues,classic rock,country rock,electric blues,folk rock,hard rock,psychedelic rock,rock,roots rock,symphonic rock","0.421","0.544","9","-12.017","1","0.0302","0.127","0.71","0.175","0.642","109.4","4"
"spotify:track:4TMiCi7KC7rngKjSW0Bxv3","Hear Me Calling","spotify:artist:7nkLRaWHImCvWGHdNGnhVE","Ten Years After","spotify:album:4laVc6CRFSaDkvKSCp3wp6","Goin' Home","1975","1","1","343826","false","0","spotify:user:sebastianelisapfeifer","2020-06-15T18:25:48Z","album rock,art rock,blues,blues rock,british blues,classic rock,country rock,electric blues,folk rock,hard rock,psychedelic rock,rock,roots rock,symphonic rock","0.38","0.602","9","-14.582","1","0.0302","0.0217","0.0000372","0.0961","0.674","130.059","4"
"spotify:track:6ToM0uwxtPKo9CMpbPGYvM","Break on Through (To the Other Side)","spotify:artist:22WZ7M8sxp5THdruNY3gXt","The Doors","spotify:album:1jWmEhn3ggaL6isoyLfwBn","The Doors","1967-01-04","1","1","145866","false","73","spotify:user:sebastianelisapfeifer","2020-06-15T18:25:56Z","acid rock,classic rock,psychedelic rock,rock","0.421","0.751","9","-9.584","1","0.0472","0.2","0","0.17","0.789","89.839","4"
"spotify:track:0jx7r5OF2yEXUyRArwlKzS","The Man Who Sold The World - 1999 Remastered Version","spotify:artist:0oSGxfWSnnOXhD2fKuz2Gy","David Bowie","spotify:album:4hCuee6XJrhXfeedeoEv7r","The Man Who Sold The World","1970-11-04","1","8","238893","false","0","spotify:user:sebastianelisapfeifer","2020-06-15T18:26:47Z","album rock,art rock,classic rock,dance rock,glam rock,permanent wave,rock","0.477","0.432","2","-12.262","0","0.0297","0.0918","0.000147","0.171","0.555","119.11","4"
"spotify:track:6d3I7THB2bONUkxOo1DvmZ","Voodoo Child (Slight Return)","spotify:artist:776Uo845nYHJpNaStv1Ds4","Jimi Hendrix","spotify:album:2vfiwvlxOBNBohRXfvlMtY","Experience Hendrix: The Best Of Jimi Hendrix","1997-09-16","1","15","312426","false","52","spotify:user:sebastianelisapfeifer","2020-06-15T18:27:23Z","acid rock,blues rock,classic rock,psychedelic rock,rock","0.356","0.905","8","-6.652","1","0.309","0.502","0.0137","0.0561","0.438","87.57","4"
"spotify:track:44sw25l5s3dUQx38QQ4hix","Summertime","spotify:artist:4J69yWrKwWJgjv3DKTZcGo","Big Brother & The Holding Company","spotify:album:73atzd4xK9PMS4iGanT9un","Janis Joplin's Greatest Hits","1973-07-01","1","2","238426","false","0","spotify:user:sebastianelisapfeifer","2020-06-15T19:48:05Z","blues rock,classic rock,folk rock,psychedelic rock,rock","0.3","0.312","5","-13.886","1","0.0301","0.106","0.000179","0.124","0.394","180.549","3"
"spotify:track:3kDr9IUhx0tHyyzaSCLLHB","The Wind Cries Mary","spotify:artist:776Uo845nYHJpNaStv1Ds4","Jimi Hendrix","spotify:album:2vfiwvlxOBNBohRXfvlMtY","Experience Hendrix: The Best Of Jimi Hendrix","1997-09-16","1","3","200493","false","43","spotify:user:sebastianelisapfeifer","2020-06-15T19:49:56Z","acid rock,blues rock,classic rock,psychedelic rock,rock","0.481","0.488","10","-10.538","1","0.0509","0.346","0.00896","0.238","0.302","79.237","4"
"spotify:track:4fQMGlCawbTkH9yPPZ49kP","Green Onions","spotify:artist:2vDV0T8sxx2ENnKXds75e5","Booker T. & the M.G.'s","spotify:album:2aGFVLz0oQPa3uxCfq9lcU","Green Onions","1962","1","1","176333","false","69","spotify:user:sebastianelisapfeifer","2020-06-15T19:50:22Z","classic soul,funk,instrumental funk,instrumental soul,memphis soul,soul,southern soul","0.816","0.514","10","-8.741","1","0.0339","0.767","0.949","0.0899","0.912","136.837","4"
"spotify:track:7oVqbYLuql1XFKTpQQKn5s","Crosstown Traffic","spotify:artist:776Uo845nYHJpNaStv1Ds4","Jimi Hendrix","spotify:album:2vfiwvlxOBNBohRXfvlMtY","Experience Hendrix: The Best Of Jimi Hendrix","1997-09-16","1","7","139266","false","42","spotify:user:sebastianelisapfeifer","2020-06-15T19:50:29Z","acid rock,blues rock,classic rock,psychedelic rock,rock","0.482","0.96","0","-5.269","0","0.126","0.254","0.00000243","0.294","0.544","113.263","4"
"spotify:track:2uXkW8uJcOIhlbUatEPLPs","Have Love Will Travel","spotify:artist:2g3PKH7Z1Ofn5oGR6oDjLy","The Sonics","spotify:album:4vqaqoTEbNyeeSHJA6KpdM","Here Are the Sonics","1965","1","6","160400","false","59","spotify:user:sebastianelisapfeifer","2020-06-15T20:19:49Z","classic garage rock,freakbeat,garage rock,protopunk,psychedelic rock,punk,punk blues","0.506","0.948","10","-5.626","1","0.105","0.727","0","0.0904","0.934","130.195","4"
"spotify:track:3tRSuDox4xXPTEAmMrOVP1","The Knife - 2008 Remaster","spotify:artist:3CkvROUTQ6nRi9yQOcsB50","Genesis","spotify:album:7Jigl7PJCgN4mAODbJYkFT","R-Kive","2014-01-01","1","1","533451","false","17","spotify:user:sebastianelisapfeifer","2020-06-15T20:27:09Z","album rock,art rock,classic rock,mellow gold,progressive rock,rock,soft rock,symphonic rock","0.221","0.759","1","-9.157","1","0.11","0.00407","0.00933","0.192","0.289","78.31","4"
"spotify:track:3bxZsAbXwPNBX4I7b36XRm","Whiskey, Mystics and Men - Version #1, Recorded at Elektra Studios, 1970","spotify:artist:22WZ7M8sxp5THdruNY3gXt","The Doors","spotify:album:4wsbOwqXuuYw8c32ZGvGj5","Behind Closed Doors - The Rarities","2013-05-03","1","12","148600","false","28","spotify:user:sebastianelisapfeifer","2020-06-20T12:44:19Z","acid rock,classic rock,psychedelic rock,rock","0.623","0.435","4","-15.419","1","0.056","0.8","0","0.182","0.597","78.941","3"
"spotify:track:1OpR9EQzm0bCVNNlMVE7yW","Just Another Empty Dream","spotify:artist:0AFVYhgHSbn9LBIDPU6dTQ","Sweet Smoke","spotify:album:4TvspgPQpOYUlNDC1GFbIJ","Just A Poke / Darkness To Light","2000","1","3","264040","false","24","spotify:user:sebastianelisapfeifer","2020-08-12T16:36:49Z","jazz rock","0.531","0.406","0","-8.381","1","0.0529","0.412","0.0000273","0.13","0.143","104.441","4"
"spotify:track:5XTdMVT5i5qcfyTXWxhxVZ","Ghost Song","spotify:artist:1QB4oo4JbSRdxNyidIuD0W, spotify:artist:22WZ7M8sxp5THdruNY3gXt","Jim Morrison, The Doors","spotify:album:7qj6lZyChZxDGAqzTArHHQ","An American Prayer","1978","1","2","170666","false","58","spotify:user:sebastianelisapfeifer","2020-10-12T16:52:04Z","classic rock,psychedelic rock,rock,acid rock,classic rock,psychedelic rock,rock","0.764","0.48","0","-13.63","1","0.0819","0.416","0.316","0.107","0.705","110.175","4"
"spotify:track:4r5RuewIFh4Qjsmdist19o","Then Came the Last Days of May","spotify:artist:00tVTdpEhQQw1bqdu8RCx2","Blue Öyster Cult","spotify:album:3mWnorNCr0j7cdMQ8rVJtV","Blue Öyster Cult","1972","1","3","210973","false","0","spotify:user:sebastianelisapfeifer","2020-11-08T22:04:53Z","album rock,art rock,blues rock,classic rock,hard rock,metal,rock,soft rock","0.38","0.541","9","-12.989","0","0.0447","0.426","0.0325","0.205","0.43","148.465","4"
"spotify:track:4WFVX3E568hdAixIj3U222","Strange Days","spotify:artist:22WZ7M8sxp5THdruNY3gXt","The Doors","spotify:album:6v5IVMmY1IvWtbfnQoiFSf","Strange Days","1967-09-25","1","1","186560","false","55","spotify:user:sebastianelisapfeifer","2020-11-15T14:27:10Z","acid rock,classic rock,psychedelic rock,rock","0.411","0.763","9","-6.738","0","0.0541","0.199","0.00447","0.329","0.462","121.57","4"
"spotify:track:3JRoZqOoTuQu6pI1prK7QC","Ghost Dance","spotify:artist:0vYkHhJ48Bs3jWcvZXvOrP","Patti Smith","spotify:album:1p6cWoueuunhpgy6131zAd","Easter","1978","1","4","283400","false","39","spotify:user:sebastianelisapfeifer","2020-11-28T22:37:25Z","art punk,art rock,dance rock,folk rock,permanent wave,protopunk,rock","0.5","0.54","7","-9.532","1","0.0297","0.648","0","0.122","0.815","98.009","4"
"spotify:track:14XWXWv5FoCbFzLksawpEe","Riders on the Storm","spotify:artist:22WZ7M8sxp5THdruNY3gXt","The Doors","spotify:album:7IKUTIc9UWuVngyGPtqNHS","L.A. Woman","1971-04-19","1","10","434720","false","76","spotify:user:sebastianelisapfeifer","2020-12-20T22:37:20Z","acid rock,classic rock,psychedelic rock,rock","0.549","0.722","11","-11.729","0","0.0283","0.25","0.0138","0.11","0.716","103.885","4"
