"Track-URI","Track-Name","Künstler-URI(s)","Künstlername(n)","Album-URI","Album-Name","Album-Künstler-URI(s)","Album-Künstlername(n)","Veröffentlichungsdatum des Albums","Album-Bild-URL","Disc-Nummer","Track-Nummer","Track-Dauer (ms)","Track-Vorschau-URL","Explizit","Beliebtheit","ISRC","Hinzugefügt von","Hinzugefügt am"
"spotify:track:1SCwVUbxOrqU7NADHm7x7j","Кукушка","spotify:artist:2jkl2xJVm71azWAgZKyf42","Kino","spotify:album:69ZJ5dzcZJdcgcs8hBLgtu","Чёрный альбом","spotify:artist:2jkl2xJVm71azWAgZKyf42","Kino","1990-01-01","https://i.scdn.co/image/ab67616d0000b273786b41e76929792458bd66ee","1","5","398658","https://p.scdn.co/mp3-preview/e3e8f8a398c9756ee260bff80266357e9bdcedf2?cid=9950ac751e34487dbbe027c4fd7f8e99","false","1","RUB421401409","spotify:user:sebastianelisapfeifer","2018-09-10T11:22:07Z"
"spotify:track:1qOVM9uo5a44KUrij5bsW5","Апрель","spotify:artist:2jkl2xJVm71azWAgZKyf42","Kino","spotify:album:6jRDBHMIDlq7IAfkS1nJki","Звезда по имени Солнце","spotify:artist:2jkl2xJVm71azWAgZKyf42","Kino","1989","https://i.scdn.co/image/ab67616d0000b273a7151d37c074c3a706e8efcc","1","9","281173","https://p.scdn.co/mp3-preview/573b1e5070386313e97b01b529228707a3764446?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","FR10S1780288","spotify:user:sebastianelisapfeifer","2018-09-10T11:22:21Z"
"spotify:track:2W42gM36h7qkfphcaq4L4o","Werewolf's Eyes","spotify:artist:7ChCUR65UlsW0rOeW8WWd1","Birch Book","spotify:album:5GzU0agmzhT6wU9xwfXo8c","Werewolf's Eyes","spotify:artist:7ChCUR65UlsW0rOeW8WWd1","Birch Book","2018-10-15","https://i.scdn.co/image/ab67616d0000b273e0528b1dc5e4ce0f3aea79fc","1","1","278093","https://p.scdn.co/mp3-preview/cae8ce6a2c184fe34c7b323bfef9437f7b966d7f?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","QZ22B2010897","spotify:user:sebastianelisapfeifer","2019-03-19T11:28:14Z"
"spotify:track:3dCP7RktPbImVtXnpKEU0e","The Trip Goes On","spotify:artist:7ChCUR65UlsW0rOeW8WWd1","Birch Book","spotify:album:1fCJGUFEGUGio62eCPQkrq","Fortune & Folly, Vol. II","spotify:artist:7ChCUR65UlsW0rOeW8WWd1","Birch Book","2006-05-17","https://i.scdn.co/image/ab67616d0000b273ed761701aa30970fa671d7d1","1","9","436933","https://p.scdn.co/mp3-preview/df25f16b8c2d87d3063a795a7d6f17e8fff8b918?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","QZ22B1859983","spotify:user:sebastianelisapfeifer","2019-03-19T11:32:00Z"
"spotify:track:7zFnsVYhx8RD42GFeV1jeq","Feet of Clay","spotify:artist:7ChCUR65UlsW0rOeW8WWd1","Birch Book","spotify:album:6eQuiDP0inuGutwR68nIxk","A Hand Full of Days (Vol. III)","spotify:artist:7ChCUR65UlsW0rOeW8WWd1","Birch Book","2009-10-10","https://i.scdn.co/image/ab67616d0000b27394d5d8a8658c03c103667b09","1","2","211493","https://p.scdn.co/mp3-preview/d7b956081598bb4fd25761b69090c3683eccdefa?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","QZ22B1859962","spotify:user:sebastianelisapfeifer","2019-03-19T11:40:36Z"
"spotify:track:7sIen5lN007BvJqcPfmU3O","500 Miles","spotify:artist:7uhvDINTTiD0XBrP9fquN1","The Hooters","spotify:album:3mrMSvqfIJJbTQW7AV1ng1","500 Miles","spotify:artist:7uhvDINTTiD0XBrP9fquN1","The Hooters","2003-04-14","https://i.scdn.co/image/ab67616d0000b2734ce6cba01772a335d181b039","1","3","260880","https://p.scdn.co/mp3-preview/0dc10b84f217306aa78d6de4eb3923fcd00763ca?cid=9950ac751e34487dbbe027c4fd7f8e99","false","40","USSM18900046","spotify:user:sebastianelisapfeifer","2019-04-02T15:51:19Z"
"spotify:track:31v2AQlx4pDI7kmnLxBkem","Mmm Mmm Mmm Mmm","spotify:artist:1YEGETLT2p8k97LIo3deHL","Crash Test Dummies","spotify:album:03dlqdFWY9gwJxGl3AREVy","God Shuffled His Feet","spotify:artist:1YEGETLT2p8k97LIo3deHL","Crash Test Dummies","1993-04-05","https://i.scdn.co/image/ab67616d0000b273df9d39dded05faa9ed520ca6","1","3","235173","https://p.scdn.co/mp3-preview/9c0f2b94c3c85fc12c085e439ac0d8c8fef096fe?cid=9950ac751e34487dbbe027c4fd7f8e99","false","69","CAA359300084","spotify:user:sebastianelisapfeifer","2019-04-02T15:51:19Z"
"spotify:track:5MxNLUsfh7uzROypsoO5qe","Dream On","spotify:artist:7Ey4PD4MYsKc5I2dolUwbH","Aerosmith","spotify:album:19lEZSnCCbVEkKchoPQWDZ","Aerosmith","spotify:artist:7Ey4PD4MYsKc5I2dolUwbH","Aerosmith","1973-01-05","https://i.scdn.co/image/ab67616d0000b273b11078ee23dcd99e085ac33e","1","3","266960","https://p.scdn.co/mp3-preview/b56a69c9cddc7358e940daa656a8dd5874e5f58f?cid=9950ac751e34487dbbe027c4fd7f8e99","false","14","USSM10011897","spotify:user:sebastianelisapfeifer","2019-04-02T15:51:19Z"
"spotify:track:3NH2FJUSV3HGXZRtOc3Uwj","Tangerine - Remaster","spotify:artist:36QJpDe2go2KgaRleHCDTp","Led Zeppelin","spotify:album:4xGEiQ7La4japmGrREeLlw","Led Zeppelin III (Deluxe Edition)","spotify:artist:36QJpDe2go2KgaRleHCDTp","Led Zeppelin","1970-10-05","https://i.scdn.co/image/ab67616d0000b2734f08944b5cb3be8ca14ba705","1","7","191827","https://p.scdn.co/mp3-preview/e731e8699f3142e417f4e14a9a6257a29d03f3c1?cid=9950ac751e34487dbbe027c4fd7f8e99","false","38","USAT21300940","spotify:user:sebastianelisapfeifer","2019-04-02T15:51:19Z"
"spotify:track:1kbh1aCdNRgqDn2WjeNidF","Boat On The River","spotify:artist:4salDzkGmfycRqNUbyBphh","Styx","spotify:album:6aR9Tlduck7C5shqttnhvK","Cornerstone","spotify:artist:4salDzkGmfycRqNUbyBphh","Styx","1979-01-01","https://i.scdn.co/image/ab67616d0000b2734d1e32e531e146de3eedc140","1","5","191200","https://p.scdn.co/mp3-preview/c05a885d1990b751eb813301756b4ff40fa4c361?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","USAM17902302","spotify:user:sebastianelisapfeifer","2019-04-02T15:51:19Z"
