"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:573Z2Dty5epeNgKsgoDOlr","Child in Time - 1995 Remaster","spotify:artist:568ZhdwyaiCyOGJRtNYhWf","Deep Purple","spotify:album:2bjTVISSsvwia7uxrrEsuQ","Deep Purple in Rock (Anniversary Edition)","spotify:artist:568ZhdwyaiCyOGJRtNYhWf","Deep Purple","1970-06-03","https://i.scdn.co/image/ab67616d0000b273914d1e0ea2784475c457b7dc","1","3","613440","https://p.scdn.co/mp3-preview/4c1c7128d34647e7d975e412642c7b5c1392182e?cid=9950ac751e34487dbbe027c4fd7f8e99","false","61","GBDXG0600118","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:0XxwUSwxbM6ddzK5WiMtou","Ride Across The River","spotify:artist:0WwSkZ7LtFUFjGjMZBMt6T","Dire Straits","spotify:album:0u7sgzvlLmPLvujXxy9EeY","Brothers In Arms - 20th Anniversary Edition","spotify:artist:0WwSkZ7LtFUFjGjMZBMt6T","Dire Straits","1985-05-13","https://i.scdn.co/image/ab67616d0000b273042dbf8721e37f11843bfeac","1","6","418000","https://p.scdn.co/mp3-preview/febf798373c36e6f56b934e254c99fcf996eebe1?cid=9950ac751e34487dbbe027c4fd7f8e99","false","46","GBF088500678","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:7zRJoQBjGMcO9Z2S214cym","Found Love","spotify:artist:68IDm3R3jTpugUYXemHeZF","The Fly Bi Nights","spotify:album:6wOV1MzGlgm5g9U9dHJzzZ","Cult Hits of the 1960's, Vol. 1","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Various Artists","2010-06-15","https://i.scdn.co/image/ab67616d0000b2738132d39dec09049f03b88559","1","6","161706","https://p.scdn.co/mp3-preview/bfb24a53be7f8ed2a1b8ddcb9c681af957fbbc76?cid=9950ac751e34487dbbe027c4fd7f8e99","false","33","USEG41010053","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:14XWXWv5FoCbFzLksawpEe","Riders on the Storm","spotify:artist:22WZ7M8sxp5THdruNY3gXt","The Doors","spotify:album:7IKUTIc9UWuVngyGPtqNHS","L.A. Woman","spotify:artist:22WZ7M8sxp5THdruNY3gXt","The Doors","1971-04-19","https://i.scdn.co/image/ab67616d0000b27320783882533e669760741df2","1","10","434720","https://p.scdn.co/mp3-preview/0d7d4d35554f6097fce04d464f7aacd7c6f59727?cid=9950ac751e34487dbbe027c4fd7f8e99","false","76","USEE19900773","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:2BfWQuJyisg1pAExo2mBVK","Society","spotify:artist:32raKeUHkfUVqgGHbIPD2u","FGFC820","spotify:album:5CIMb1rasSmnOpAcmlqHpm","Urban Audio Warfare","spotify:artist:32raKeUHkfUVqgGHbIPD2u","FGFC820","2006-11-30","https://i.scdn.co/image/ab67616d0000b273beb9e4d64c4cf1a4fa16986b","1","14","318040","https://p.scdn.co/mp3-preview/d966944003eafd08cd71f4a1e477a0e551702eec?cid=9950ac751e34487dbbe027c4fd7f8e99","false","31","DEAD20710471","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:0nLiqZ6A27jJri2VCalIUs","Nothing Else Matters","spotify:artist:2ye2Wgw4gimLv2eAKyk1NB","Metallica","spotify:album:2Kh43m04B1UkVcpcRa1Zug","Metallica","spotify:artist:2ye2Wgw4gimLv2eAKyk1NB","Metallica","1991-08-12","https://i.scdn.co/image/ab67616d0000b273cf84c5b276431b473e924802","1","8","388266","https://p.scdn.co/mp3-preview/05659fbb6426fc9ecc7e08cf86b049226190578d?cid=9950ac751e34487dbbe027c4fd7f8e99","false","83","GBF089190020","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:37Tmv4NnfQeb0ZgUC4fOJj","Sultans Of Swing","spotify:artist:0WwSkZ7LtFUFjGjMZBMt6T","Dire Straits","spotify:album:2rCS6Xwx32V27pvgFzLzlT","Dire Straits","spotify:artist:0WwSkZ7LtFUFjGjMZBMt6T","Dire Straits","1978-10-07","https://i.scdn.co/image/ab67616d0000b2739dfee5404d5e0763998c958e","1","6","348400","https://p.scdn.co/mp3-preview/999b0d5c54c447b40ae8cab628ecf44ad850d736?cid=9950ac751e34487dbbe027c4fd7f8e99","false","85","GBF089601041","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:4uGIJG1jYFonGc4LGp5uQL","Somebody to Love","spotify:artist:2qFr8w5sWUITRlzZ9kZotF","Jefferson Airplane","spotify:album:6lPb7Eoon6QPbscWbMsk6a","Surrealistic Pillow","spotify:artist:2qFr8w5sWUITRlzZ9kZotF","Jefferson Airplane","1967","https://i.scdn.co/image/ab67616d0000b2732dac7a01676ddb36c1d0ec05","1","2","174840","https://p.scdn.co/mp3-preview/19c01e1fdf45dd0a1e47051dd2e449de658a991c?cid=9950ac751e34487dbbe027c4fd7f8e99","false","73","USRC10301008","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:2RovrfrN5XhL5wgac4Vrch","God & Country","spotify:artist:32raKeUHkfUVqgGHbIPD2u","FGFC820","spotify:album:1m5vZKgZr5MH20e2C23UK3","Halloween - The Darkest Night (50 Darkwave Industrial Tracks)","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Various Artists","2009","https://i.scdn.co/image/ab67616d0000b2730729931805cb6099c472b207","1","3","296200","https://p.scdn.co/mp3-preview/ee3ec33c3ab8cefe6382c5bf62586b773ca3ba1e?cid=9950ac751e34487dbbe027c4fd7f8e99","false","16","DEH741114540","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:74D4H6tg3QnZ1SpEA9pjGk","Ashes","spotify:artist:5k979N1TnPncUyqlXlaRSv","The Longest Johns","spotify:album:23FGerfaTcQOlEdySv5Wdq","Cures What Ails Ya","spotify:artist:5k979N1TnPncUyqlXlaRSv","The Longest Johns","2020-06-10","https://i.scdn.co/image/ab67616d0000b2730e344b28681e6ee72eb67f78","1","6","201000","https://p.scdn.co/mp3-preview/fec67253310e522f017ff82b463c4e2ddce276b1?cid=9950ac751e34487dbbe027c4fd7f8e99","false","54","UKPGJ1800034","spotify:user:","1970-01-01T00:00:00Z"
