"Track-URI","Track-Name","Künstler-URI(s)","Künstlername(n)","Album-URI","Album-Name","Album-Künstler-URI(s)","Album-Künstlername(n)","Veröffentlichungsdatum des Albums","Album-Bild-URL","Disc-Nummer","Track-Nummer","Track-Dauer (ms)","Track-Vorschau-URL","Explizit","Beliebtheit","ISRC","Hinzugefügt von","Hinzugefügt am"
"spotify:track:7Gjz9hnR8IlQvptOxZzygX","I Want It All - Single Version","spotify:artist:1dfeR4HaWDbWqFHLkxsg1d","Queen","spotify:album:1HmWxU8jJ27zCs3thz4yX5","The Miracle (Deluxe Edition 2011 Remaster)","spotify:artist:1dfeR4HaWDbWqFHLkxsg1d","Queen","1989-05-22","https://i.scdn.co/image/ab67616d0000b2739b395f0a1c21f83e14441569","2","1","242093","https://p.scdn.co/mp3-preview/69dfb1068737d1ed7d010c5e0574a45c562708cb?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","GBUM71029624","spotify:user:sebastianelisapfeifer","2017-02-22T15:29:36Z"
"spotify:track:6cpxc3s0IoDuhU3Z0Le1xg","Fallen Leaves","spotify:artist:08yf5A2nS4XEeNvabDXqyg","Billy Talent","spotify:album:5toyHAFUN46WoyMUYcB5b1","Billy Talent II","spotify:artist:08yf5A2nS4XEeNvabDXqyg","Billy Talent","2006-06-26","https://i.scdn.co/image/ab67616d0000b2737d3f52647c096088e1d8ec67","1","6","199200","https://p.scdn.co/mp3-preview/fabb08e1645aaedd21fdb72f7a7354642a76b37b?cid=9950ac751e34487dbbe027c4fd7f8e99","false","41","USAT20612286","spotify:user:sebastianelisapfeifer","2017-02-22T15:29:57Z"
"spotify:track:4V05j7HDUU2bZQwDOeIySh","Last Resort","spotify:artist:4RddZ3iHvSpGV4dvATac9X","Papa Roach","spotify:album:03n4EmWNweUARTWYtmlPqt","To Be Loved: The Best Of Papa Roach (Explicit Version)","spotify:artist:4RddZ3iHvSpGV4dvATac9X","Papa Roach","2010-01-01","https://i.scdn.co/image/ab67616d0000b27320fa6272a47063103db09bb1","1","2","200480","https://p.scdn.co/mp3-preview/fd0f4e93ee380e85cd5ec2b16c1cccfc48081495?cid=9950ac751e34487dbbe027c4fd7f8e99","true","8","USDW10021712","spotify:user:sebastianelisapfeifer","2017-02-22T15:30:02Z"
"spotify:track:3BWWSa0UDSVP6Z9uRrT175","Land Of Confusion","spotify:artist:3TOqt5oJwL9BE2NG9MEwDa","Disturbed","spotify:album:6uk3P8Y3DuoUlQEiWvhrh8","Ten Thousand Fists","spotify:artist:3TOqt5oJwL9BE2NG9MEwDa","Disturbed","2005-09-19","https://i.scdn.co/image/ab67616d0000b27385b120e9096febbc11ee0c21","1","11","287066","https://p.scdn.co/mp3-preview/60c7ae0be0a3422986f3a334f8866f9fee2f9d4d?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","USRE10501021","spotify:user:sebastianelisapfeifer","2017-02-22T15:30:10Z"
"spotify:track:21cp8L9Pei4AgysZVihjSv","Child in Time","spotify:artist:568ZhdwyaiCyOGJRtNYhWf","Deep Purple","spotify:album:2jm9Vixt3Nn2oE4VtOVUD8","Deepest Purple: The Very Best of Deep Purple","spotify:artist:568ZhdwyaiCyOGJRtNYhWf","Deep Purple","1990-07-23","https://i.scdn.co/image/ab67616d0000b27325b36a6170824fefd38d337e","1","5","619266","https://p.scdn.co/mp3-preview/4c1c7128d34647e7d975e412642c7b5c1392182e?cid=9950ac751e34487dbbe027c4fd7f8e99","false","47","GBDXG0600057","spotify:user:sebastianelisapfeifer","2017-02-22T15:30:20Z"
"spotify:track:4WwWjFCyvUY2fcx8OULByB","In a Darkened Room","spotify:artist:4opTS86dN9uO313J9CE8xg","Skid Row","spotify:album:0AiXcZbksZoX2pSe2384Z3","Slave to the Grind","spotify:artist:4opTS86dN9uO313J9CE8xg","Skid Row","1991","https://i.scdn.co/image/ab67616d0000b2736def8b792dae19e81931de6e","1","9","235066","https://p.scdn.co/mp3-preview/35a68d64697c6868184c0dc205417a2b9ed61cc8?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","USAT20901959","spotify:user:sebastianelisapfeifer","2017-02-22T15:30:24Z"
"spotify:track:3EYXvt1NMI5haUPCOrAskP","I'd Love To Change The World","spotify:artist:7nkLRaWHImCvWGHdNGnhVE","Ten Years After","spotify:album:3JXkf4wjTjKxyrzFvfaVJU","A Space In Time","spotify:artist:7nkLRaWHImCvWGHdNGnhVE","Ten Years After","1971-08","https://i.scdn.co/image/ab67616d0000b2732c3cac83b9d6a8fcf97b9fe2","1","3","223960","https://p.scdn.co/mp3-preview/ba3952835d48993c3fd39849b3efbe38b903a1cd?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","GBAYK7100013","spotify:user:sebastianelisapfeifer","2017-02-22T15:30:31Z"
"spotify:track:3YU9X8ryOR20beT7wOlDIJ","I'm Eighteen","spotify:artist:3EhbVgyfGd7HkpsagwL9GS","Alice Cooper","spotify:album:6p7jHbG5Bd6z2JgfKx0um7","Love It to Death","spotify:artist:3EhbVgyfGd7HkpsagwL9GS","Alice Cooper","1971","https://i.scdn.co/image/ab67616d0000b273eb94bab521f013968c5f458e","1","2","180760","https://p.scdn.co/mp3-preview/32dd55521b6938a6c097acbecc288beadff8d892?cid=9950ac751e34487dbbe027c4fd7f8e99","false","59","USWB19900777","spotify:user:sebastianelisapfeifer","2017-02-22T15:30:37Z"
"spotify:track:1WmBU9RlayxcOmOGON9aqO","Neandertal","spotify:artist:5PHsYIMFyXJsaxa4HjGM4k","EAV (Erste Allgemeine Verunsicherung)","spotify:album:7x9xID7jaslRHibBpXAp4S","100 Jahre EAV","spotify:artist:5PHsYIMFyXJsaxa4HjGM4k","EAV (Erste Allgemeine Verunsicherung)","2008-04-18","https://i.scdn.co/image/ab67616d0000b2737733f4a485ac9ff7bc0c7f6f","2","15","203506","https://p.scdn.co/mp3-preview/169680d4a883c7b709e26e93922e9d236bc25e0e?cid=9950ac751e34487dbbe027c4fd7f8e99","false","35","DEA810500986","spotify:user:sebastianelisapfeifer","2017-02-22T15:31:01Z"
"spotify:track:0mLS3gBv6Wzv0q6zLcmLD8","Red Flag","spotify:artist:08yf5A2nS4XEeNvabDXqyg","Billy Talent","spotify:album:5toyHAFUN46WoyMUYcB5b1","Billy Talent II","spotify:artist:08yf5A2nS4XEeNvabDXqyg","Billy Talent","2006-06-26","https://i.scdn.co/image/ab67616d0000b2737d3f52647c096088e1d8ec67","1","2","196840","https://p.scdn.co/mp3-preview/2a0ce6e4c91d76215e8b68b3e17df5db804e7e93?cid=9950ac751e34487dbbe027c4fd7f8e99","false","46","USAT20612281","spotify:user:sebastianelisapfeifer","2017-02-22T15:31:18Z"
"spotify:track:74EV0g12ihUoOUXMprFpZB","Losing My Religion","spotify:artist:4KWTAlx2RvbpseOGMEmROg","R.E.M.","spotify:album:4v5hSLj6ClyLqj2nnaPbfD","Out Of Time (U.S. Version)","spotify:artist:4KWTAlx2RvbpseOGMEmROg","R.E.M.","1991-01-01","https://i.scdn.co/image/ab67616d0000b273a0dd1fca84303bfd1e318d97","1","2","267733","https://p.scdn.co/mp3-preview/184d86f6c2b531830190011f00c5780fa7a2e1f2?cid=9950ac751e34487dbbe027c4fd7f8e99","false","4","USWB19901521","spotify:user:sebastianelisapfeifer","2017-02-22T15:31:27Z"
